Length,Merge Sort,Quick Sort,Counting Sort,Radix Sort,QR Sort
10000,489,356,432,84,61
20000,1035,781,476,172,131
30000,1676,1236,520,263,186
40000,2275,1688,565,360,246
50000,2869,2130,593,447,323
60000,3487,2595,636,536,381
70000,4107,3128,723,631,432
80000,4873,3690,783,744,518
90000,5411,4068,769,814,582
100000,6002,4543,773,899,637
110000,6645,5006,871,985,723
120000,7316,5499,889,1079,727
130000,7894,5975,947,1168,793
140000,8442,6440,912,1264,843
150000,9116,6912,936,1347,916
160000,9888,7468,985,1486,982
170000,10622,7977,1056,1574,1042
180000,11272,8536,1481,1649,1113
190000,11933,9029,1138,1780,1159
200000,12522,9528,1200,1870,1232
210000,13217,10110,1288,1982,1281
220000,13974,10429,1264,2088,1409
230000,14575,11101,1273,2165,1396
240000,15369,11730,1316,2309,1461
250000,16032,12094,1326,2389,1537
260000,16559,12725,1365,2540,1610
270000,17211,13077,1504,2624,1693
280000,18471,14083,1691,2800,1809
290000,18943,14535,1679,2907,1885
300000,19340,14735,1513,2933,1903
310000,20060,15303,1558,3022,2011
320000,20608,15681,1657,3138,1943
330000,21506,16258,1631,3269,2140
340000,22460,16763,1699,3349,2111
350000,22991,17387,1699,3481,2168
360000,23702,17910,1758,3627,2207
370000,24404,18347,1779,3754,2302
380000,25085,18908,1903,3857,2320
390000,25798,19531,1878,3969,2402
400000,26458,19962,1946,4141,2484
410000,27731,21047,2075,4264,2710
420000,27777,21017,2046,4367,2569
430000,28700,21598,2148,4484,2641
440000,29284,22339,2154,4596,2735
450000,29939,22659,2143,4763,2802
460000,30693,23642,2240,4875,2848
470000,31430,23675,2264,5058,2903
480000,32149,24159,2334,5146,2951
490000,32839,24801,2331,5292,3028
500000,33532,25164,2411,5446,3137
510000,34122,25749,2419,5544,3132
520000,34702,26366,2457,5632,3186
530000,35639,26784,2494,5827,3271
540000,36352,27374,2533,5968,3400
550000,36897,27999,2596,6083,3435
560000,37450,28667,2638,6168,3464
570000,38261,29430,2671,6253,3506
580000,39027,29585,2757,6428,3560
590000,40058,30344,2790,6534,3676
600000,40723,30766,2862,6712,3830
610000,41979,31964,3055,6937,3878
620000,42094,31922,2943,6954,4081
630000,43110,32606,3003,7033,3899
640000,43504,33016,3191,7171,3977
650000,44173,33543,2996,7348,4022
660000,45051,34031,3016,7413,4257
670000,45902,35207,3178,7620,4220
680000,46715,35090,3266,7763,4319
690000,47540,35820,3184,7868,4301
700000,48363,36485,3197,7991,4377
710000,48779,36854,3198,8136,4481
720000,50261,37172,3275,8261,4530
730000,50350,37930,3361,8395,4645
740000,51140,38738,3353,8507,4744
750000,51933,39170,3338,8703,4731
760000,53727,40203,3682,9095,4946
770000,53209,40552,3575,8963,4875
780000,54012,40594,3496,9078,4901
790000,54918,41780,3695,9288,5018
800000,56681,42444,3936,9696,5230
810000,56601,42720,3859,9588,5189
820000,57071,43257,3744,9564,5344
830000,57702,43443,3738,9736,5250
840000,58405,44053,3770,9938,5293
850000,59843,45260,4001,10235,5484
860000,60041,45444,3924,10370,5453
870000,62612,47278,4491,10794,5920
880000,61452,46344,3946,10601,5574
890000,61945,46998,3969,10723,5668
900000,63358,47662,4139,11025,5865
910000,63520,48190,4084,10926,5829
920000,64332,48442,4099,11235,5904
930000,64915,49380,4124,11232,6228
940000,66031,49498,4216,11581,6198
950000,66517,50266,4276,11624,6144
960000,68303,51487,4494,12096,6366
970000,68114,51279,4339,11957,6321
980000,68790,52277,4360,12080,6362
990000,69674,52496,4384,12260,6616
1000000,70490,53248,4431,12465,6419
