Length,Merge Sort,Quick Sort,Counting Sort,Radix Sort,QR Sort
10000,641,534,122,121,91
20000,1867,1367,175,308,212
30000,2256,1652,191,380,246
40000,2577,1891,212,462,292
50000,2954,2206,219,553,313
60000,3556,2635,264,683,374
70000,4259,3155,281,798,424
80000,4743,3561,321,907,487
90000,5348,4035,349,1075,557
100000,5986,4548,370,1223,614
110000,6655,4980,414,640,654
120000,7299,5443,440,693,725
130000,7980,6028,491,755,811
140000,8475,6497,518,809,854
150000,9334,7151,564,890,942
160000,9852,7361,567,929,968
170000,10548,7889,611,975,1037
180000,11309,8491,671,1053,1127
190000,11828,8899,676,1086,1158
200000,12355,9185,710,1117,1201
210000,13015,9748,744,1189,1269
220000,14056,10410,791,1243,1329
230000,14435,10733,813,1302,1386
240000,15131,11260,844,1349,1439
250000,15801,11843,891,1415,1524
260000,16395,12290,914,1486,1560
270000,16961,12701,932,1507,1617
280000,17708,13309,980,1569,1697
290000,18315,13745,1007,1606,1746
300000,18987,14207,1026,1661,1796
310000,19847,14627,1056,1724,1878
320000,20341,15196,1115,1815,1925
330000,21148,15661,1120,1826,2005
340000,21955,16046,1166,1897,2063
350000,22351,16550,1205,1930,2079
360000,23267,17238,1234,1999,2159
370000,23995,17539,1266,2054,2236
380000,24644,17866,1289,2104,2299
390000,25298,18511,1340,2166,2326
400000,25880,18981,1370,2201,2392
410000,26610,19579,1401,2283,2483
420000,27893,20504,1496,2400,2666
430000,28436,20806,1517,2414,2656
440000,28902,21110,1493,2452,2629
450000,29287,21404,1532,2505,2746
460000,30059,22205,1552,2589,2781
470000,30772,22431,1576,2603,2844
480000,31500,22975,1623,2684,2972
490000,32150,23493,1660,2693,2980
500000,32711,24025,1682,2847,3022
510000,33406,24581,1746,2814,3113
520000,33999,24871,1772,2882,3188
530000,34502,25443,1785,2940,3230
540000,35417,25953,1876,3002,3318
550000,35923,26631,1870,3062,3350
560000,36682,26771,1884,3078,3409
570000,38281,27722,1964,3197,3482
580000,37998,28039,1989,3207,3565
590000,38878,28203,2037,3284,3685
600000,39597,28855,2053,3317,3644
610000,40393,29501,2073,3373,3755
620000,40828,29770,2082,3398,3785
630000,41848,30065,2146,3513,3873
640000,42379,30616,2176,3525,4012
650000,43129,31327,2280,3708,4077
660000,44403,31811,2217,3623,4078
670000,45014,32529,2289,3744,4171
680000,45360,33276,2308,3755,4256
690000,46823,33391,2419,3902,4404
700000,47665,34921,2476,3983,4428
710000,47487,33857,2446,3993,4440
720000,48053,34556,2440,3976,4469
730000,48767,35309,2464,4043,4585
740000,49814,35697,2513,4086,4641
750000,50629,36023,2548,4149,4663
760000,51848,37144,2648,4269,4851
770000,51873,37133,2635,4247,4785
780000,52404,37519,2633,4349,4942
790000,53165,38194,2736,4447,5015
800000,53666,38408,2746,4472,5177
810000,54739,39070,2709,4488,5092
820000,55265,39507,2775,4538,5327
830000,55946,39786,2777,4600,5230
840000,57101,40462,2873,4654,5301
850000,57319,41135,2895,4712,5415
860000,57801,40959,2889,4740,5418
870000,58785,42097,2962,4810,5482
880000,59231,42569,3009,5060,5751
890000,61118,44124,3148,5065,5846
900000,60662,43392,3072,4979,5688
910000,61338,44281,3132,5042,5858
920000,62125,44570,3154,5142,5866
930000,63121,45332,3141,5146,5870
940000,63879,45622,3159,5164,5965
950000,64680,45994,3274,5277,6290
960000,67569,46864,3289,5385,6319
970000,66288,46992,3260,5355,6169
980000,66434,47273,3322,5415,6222
990000,67252,48110,3316,5469,6321
1000000,67546,48148,3392,5543,6357
