Length,Merge Sort,Quick Sort,Counting Sort,Radix Sort,QR Sort
10000,497,373,5423,87,67
20000,1070,790,4486,188,143
30000,1644,1233,4596,271,206
40000,2240,1719,4565,371,268
50000,2803,2125,4785,456,342
60000,3489,2610,5011,570,423
70000,4049,3037,4887,634,472
80000,4775,3601,5113,757,563
90000,5369,4064,4964,815,602
100000,6011,4480,5495,919,671
110000,6662,5023,5199,1014,738
120000,7406,5462,5754,1124,826
130000,7865,6004,5384,1209,889
140000,8528,6444,5482,1338,955
150000,9177,6993,5466,1371,1019
160000,9877,7529,5657,1890,1096
170000,10595,8022,5731,1596,1161
180000,11246,8484,6423,1704,1229
190000,11903,9027,5900,1813,1306
200000,12696,9562,6133,1886,1349
210000,13253,9912,6136,1958,1431
220000,13919,10478,6270,2087,1476
230000,14691,11024,6432,2134,1582
240000,15381,11726,6720,2285,1649
250000,15978,12078,6712,2340,1712
260000,16502,12502,6829,2503,1801
270000,17285,13178,6933,2544,1849
280000,18054,13615,7058,2692,1909
290000,18604,13988,7318,2784,1964
300000,19391,14796,7381,2858,2011
310000,19985,15228,7365,2939,2101
320000,20820,15738,7760,4247,2199
330000,21424,16300,7702,3153,2241
340000,22146,16621,7744,3190,2289
350000,22984,17338,7884,3283,2418
360000,23832,17837,7990,3403,2457
370000,24386,18451,8195,3512,2561
380000,25201,18834,8279,3618,2568
390000,25904,19478,8460,3724,2674
400000,26472,19890,8617,3775,2755
410000,27751,21079,8979,3965,2853
420000,28061,21174,8855,4010,2830
430000,28536,21659,8887,4094,2942
440000,29205,22055,8935,4159,2973
450000,29983,22801,9083,4321,3062
460000,30975,23379,9403,4360,3130
470000,31560,23742,9330,4463,3215
480000,32212,24213,9423,4551,3245
490000,32856,24621,9579,4751,3323
500000,33496,25503,9845,4878,3416
510000,34331,25935,9802,4973,3472
520000,35122,26848,10403,5050,3523
530000,35370,26634,10295,5048,3578
540000,36188,27433,10156,5084,3641
550000,36939,28292,10303,5262,3765
560000,37564,28570,10497,5315,3773
570000,38341,29393,11036,5476,3854
580000,38979,29582,10748,5565,3912
590000,39592,30337,10803,5682,4009
600000,40604,30897,10976,5790,4084
610000,41406,31391,11173,5848,4112
620000,42377,32066,11639,6233,4314
630000,42923,32679,11370,6170,4284
640000,43592,32756,11614,8668,4373
650000,44638,33936,11653,6467,4481
660000,45616,34540,11832,6442,4527
670000,45541,34464,11652,6526,4570
680000,46277,35040,11751,6585,4623
690000,47201,35692,11981,6703,4673
700000,47884,36243,12086,6766,4772
710000,48495,36446,12098,6854,4803
720000,49201,37690,12173,7083,4907
730000,50229,37554,12374,7165,4997
740000,50940,38347,12488,7247,5067
750000,51610,38865,12539,7290,5112
760000,52267,39258,12626,7401,5131
770000,53203,40362,12890,7521,5179
780000,53880,40706,13022,7647,5271
790000,55554,41793,13336,8073,5515
800000,55794,42127,13147,7983,5533
810000,56347,42298,13392,8062,5508
820000,57023,42742,13300,8156,5604
830000,58624,44056,13597,8449,5713
840000,58305,44279,13492,8411,5745
850000,59196,44680,13562,8610,5826
860000,60826,46120,14439,8919,6103
870000,60463,45912,13821,8737,5946
880000,61234,45984,14098,8777,6015
890000,61692,47374,14585,8857,6094
900000,62484,46758,14556,9011,6175
910000,63185,47956,14781,9131,6179
920000,64039,48394,14888,9226,6293
930000,64793,48973,15178,9373,6325
940000,65513,49193,15059,9499,6442
950000,66259,50136,15421,9554,6517
960000,67609,50808,15704,10593,6603
970000,68833,52346,15571,9971,6830
980000,68977,52206,15193,9998,6827
990000,69378,52700,15420,10077,6731
1000000,70373,53263,15566,10485,6884
