Length,Radix Sort,QR Sort
10000,1063,7035
20000,2002,7661
30000,3080,8585
40000,4070,9031
50000,5082,9650
60000,6177,10769
70000,7170,10937
80000,8334,11875
90000,9424,12371
100000,10326,13072
110000,11526,13727
120000,12721,14916
130000,13931,15415
140000,14946,15672
150000,16469,17143
160000,17420,16939
170000,18513,17918
180000,19313,18311
190000,20482,18821
200000,21124,19514
210000,22896,20422
220000,24002,21359
230000,24452,20869
240000,25925,21709
250000,28606,22915
260000,28827,23939
270000,29970,24230
280000,31476,25041
290000,32330,25243
300000,31804,25793
310000,33941,26246
320000,26798,26695
330000,27656,28069
340000,28563,28965
350000,29083,29068
360000,30217,29977
370000,31025,30837
380000,32433,32176
390000,32519,31930
400000,31445,32521
410000,34231,34252
420000,34404,33739
430000,35639,35918
440000,36147,35642
450000,36469,36336
460000,37342,36842
470000,38635,37724
480000,39394,38269
490000,40386,39674
500000,38782,39157
510000,40882,39500
520000,43956,41646
530000,43076,41712
540000,43637,41641
550000,43977,43368
560000,45638,43972
570000,46283,44754
580000,47855,45920
590000,48435,46054
600000,47114,47097
610000,49759,47698
620000,50324,47957
630000,51241,48161
640000,51311,48911
650000,52545,49832
660000,54680,51803
670000,55513,52098
680000,55456,52403
690000,55835,52452
700000,56218,52911
710000,58787,55119
720000,58935,55829
730000,61706,57761
740000,61147,57157
750000,59909,57407
760000,61847,57513
770000,62136,59265
780000,65630,60289
790000,67230,60023
800000,69144,63006
810000,70812,63561
820000,69590,65275
830000,67406,63644
840000,72918,69960
850000,74227,69283
860000,79917,69432
870000,78212,69831
880000,85337,75062
890000,74468,69583
900000,74215,68596
910000,76351,69603
920000,79904,71605
930000,86539,73094
940000,82934,73208
950000,82346,73916
960000,81394,71790
970000,81223,72465
980000,82293,74106
990000,79226,76597
1000000,84833,76880
