Length,Radix Sort,QR Sort
10000,1008,1237
20000,2023,1900
30000,3035,2529
40000,3074,3175
50000,3605,3717
60000,4372,4292
70000,5262,5101
80000,5793,5581
90000,6698,6226
100000,7411,6798
110000,8073,7386
120000,8755,8113
130000,9596,8704
140000,10480,9484
150000,11228,10075
160000,11789,10581
170000,12508,11323
180000,13240,11963
190000,14073,12111
200000,14672,13010
210000,15709,14158
220000,16796,14951
230000,17057,15204
240000,17794,15971
250000,18613,16464
260000,19313,17050
270000,19848,17536
280000,20979,18245
290000,21774,19138
300000,22564,19729
310000,23315,20286
320000,24285,21117
330000,24521,21811
340000,25932,22566
350000,26704,23343
360000,26724,23501
370000,27606,24079
380000,28334,24191
390000,29038,25098
400000,30933,26949
410000,30820,26600
420000,31415,27458
430000,32300,28410
440000,33060,29083
450000,34220,30152
460000,34749,30582
470000,35268,30982
480000,36211,31587
490000,36747,31899
500000,38120,32646
510000,38665,33743
520000,38870,34278
530000,39709,34483
540000,40761,35940
550000,41866,36475
560000,42790,37357
570000,43493,37110
580000,44006,38311
590000,44443,38554
600000,45712,38645
610000,46137,40387
620000,47214,40883
630000,48302,41923
640000,50429,43213
650000,49854,43221
660000,50362,44150
670000,51082,44576
680000,53290,44770
690000,52388,45737
700000,53030,46409
710000,56447,47331
720000,55799,48247
730000,56090,48708
740000,56687,48621
750000,57191,49644
760000,58450,50152
770000,58938,50399
780000,59815,51068
790000,61225,51704
800000,63788,54001
810000,63118,53729
820000,63320,54050
830000,63186,54174
840000,64379,55642
850000,65989,57128
860000,68200,57723
870000,68988,57831
880000,69040,58914
890000,72375,59211
900000,69372,59784
910000,70001,60617
920000,72504,61334
930000,72520,61742
940000,77046,63293
950000,73982,62498
960000,76520,63569
970000,75244,63466
980000,81132,64027
990000,79792,66485
1000000,82712,66381
