Length,Radix Sort,QR Sort
10000,1033,5407
20000,2101,6297
30000,3055,6665
40000,4176,7271
50000,5130,7769
60000,6217,8372
70000,7352,9243
80000,8326,9944
90000,9665,10898
100000,10560,11276
110000,11717,12066
120000,12728,12243
130000,13777,12932
140000,15371,14168
150000,16055,14302
160000,17546,15250
170000,18549,15762
180000,24075,17148
190000,20727,16822
200000,21049,17377
210000,22880,18000
220000,23992,19066
230000,19336,19257
240000,19861,19894
250000,19906,20604
260000,21463,23132
270000,21679,21442
280000,22557,22135
290000,23454,23223
300000,23349,23574
310000,24808,24318
320000,25518,25123
330000,26415,25965
340000,27158,26397
350000,27849,27125
360000,28822,27908
370000,30290,28991
380000,30488,29519
390000,31172,30074
400000,31126,31025
410000,32825,31143
420000,34717,33192
430000,34198,32593
440000,35244,33900
450000,35892,34041
460000,36712,34583
470000,37624,35510
480000,38450,36334
490000,39131,36725
500000,38470,37318
510000,41670,39113
520000,42950,39927
530000,43146,40358
540000,43464,40393
550000,44053,41314
560000,45636,41550
570000,44842,42628
580000,46418,42796
590000,47115,43455
600000,50413,46176
610000,49197,45201
620000,49871,45440
630000,50915,47197
640000,52417,48652
650000,53455,48961
660000,54434,49139
670000,53957,48827
680000,55616,50157
690000,55691,51435
700000,56442,51740
710000,57338,52673
720000,58036,53149
730000,61895,54569
740000,60766,54522
750000,59329,55661
760000,61842,55857
770000,66446,58121
780000,67458,58739
790000,67115,59223
800000,62470,58652
810000,68969,61017
820000,67470,59329
830000,69609,61816
840000,68450,60863
850000,70571,63085
860000,71589,64023
870000,72488,63479
880000,73219,63172
890000,71745,63492
900000,72609,64364
910000,76741,67193
920000,76963,67079
930000,76254,67413
940000,76924,67881
950000,77726,69823
960000,81718,71058
970000,82294,71701
980000,81748,71499
990000,76686,70600
1000000,82913,72560
