Length,Merge Sort,Quicksort,Counting Sort,Radix Sort,QR Sort
10000,2068,3435,1215,676,584
20000,4068,7101,1338,1333,1107
30000,6307,10778,1573,1978,1637
40000,8572,15166,1794,2653,2205
50000,10964,19305,2037,3357,2790
60000,13427,23960,2236,4049,3310
70000,15501,27736,2400,4643,3818
80000,17845,32056,2599,5293,4411
90000,20382,36261,2868,6018,4971
100000,22554,40626,3028,6642,5550
110000,25381,45284,3354,4688,6049
120000,27496,49127,3449,4951,6559
130000,29628,52922,3636,5322,7085
140000,32988,59309,3868,5653,7669
150000,34537,62910,4068,5989,8130
160000,36774,67978,4269,6409,8672
170000,39484,70685,4531,6784,9294
180000,41976,74836,4706,7107,9819
190000,44012,79394,4891,7409,10296
200000,46285,82510,5081,7795,10836
210000,49290,87816,5406,8262,11448
220000,51883,92751,5626,8565,11981
230000,54194,96837,5763,8877,12456
240000,56697,100986,6073,9309,13040
250000,59030,106491,6331,9672,13652
260000,61595,112158,6492,10058,14214
270000,64148,116560,6690,10337,14649
280000,66476,121277,6878,10720,15261
290000,69119,123427,7133,11164,15861
300000,71552,130858,7388,11479,16354
310000,73545,136108,7465,11757,16813
320000,76786,137547,7824,12225,17467
330000,78337,143886,7960,12536,18054
340000,81144,146138,8094,12893,18636
350000,83819,151040,8387,13232,18923
360000,86175,154558,8496,13549,19485
370000,88716,165134,8836,13962,20334
380000,91247,167416,9004,14260,20627
390000,93188,171917,9268,14706,21279
400000,95883,180079,9514,15151,22043
410000,98355,184336,9785,15491,22549
420000,101998,186802,9880,15826,22895
430000,103948,188837,10132,16068,23296
440000,107080,195766,10252,16446,23811
450000,108995,197382,10577,16845,24441
460000,111685,206761,10780,17431,25342
470000,114339,212479,11108,17615,25836
480000,116843,211491,11182,18019,26216
490000,118856,218794,11466,18293,26527
500000,123550,225727,12252,19635,28141
510000,125293,229286,12447,19497,28506
520000,127567,233798,12419,19871,29428
530000,130999,242112,12942,20888,29860
540000,133373,247724,13092,20776,30157
550000,137430,247318,13140,21002,30755
560000,138872,254347,13209,21382,31817
570000,141307,261838,13567,21760,31882
580000,144413,265609,14023,22337,32683
590000,146759,269581,13851,22448,33037
600000,149003,277033,14041,22872,33673
610000,150649,281360,14286,23133,34176
620000,152621,290378,14521,23562,34953
630000,155516,292238,14753,24035,35436
640000,158674,298640,14983,24384,35875
650000,161454,296372,15585,24972,37391
660000,163774,308982,15684,25485,37201
670000,165211,308036,15615,25530,37804
680000,168070,317581,15792,25661,38050
690000,171689,319412,16321,26179,38938
700000,175656,320495,16659,26940,40051
710000,176518,326356,16759,27328,40044
720000,180079,329888,16724,27309,40296
730000,182408,344958,17287,28023,41271
740000,186161,345109,17397,28379,42125
750000,186914,349562,17567,28706,42413
760000,189523,357841,17839,29290,43001
770000,190966,362918,17997,29338,43639
780000,194444,358668,18156,29830,44104
790000,195706,365977,18137,29935,44458
800000,198137,379225,18474,30623,45112
810000,200288,380064,18755,30800,45498
820000,204085,376729,18682,30976,46282
830000,206401,386991,19009,31417,46753
840000,209095,391509,19585,31886,47363
850000,213589,389359,19586,32102,47535
860000,215251,401058,19849,32560,48333
870000,216955,407922,19998,32884,48919
880000,219621,408773,20206,33280,49523
890000,222799,415682,20231,33507,50002
900000,224903,421254,20512,33905,50625
910000,228527,427932,20871,34364,51059
920000,230359,427959,21003,34788,51656
930000,233778,442727,21461,35570,52665
940000,236140,448072,21338,35439,52903
950000,238235,453585,21733,35875,53635
960000,241473,454279,21952,36276,54311
970000,244287,453086,22110,36476,54411
980000,247807,470629,22624,37465,55564
990000,250758,468168,22804,37535,56158
1000000,251669,474855,23090,38072,56828
