Length,Merge Sort,Quicksort,Counting Sort,Radix Sort,QR Sort
10000,2694,4467,12120,791,681
20000,4143,6839,9889,1339,1124
30000,6355,10832,9989,2031,1684
40000,8599,15349,10610,2660,2240
50000,10878,19043,10717,3363,2829
60000,13262,24194,10698,4031,3345
70000,15675,27758,11459,4698,3896
80000,17952,31613,11315,5374,4428
90000,20268,37029,11531,6080,5100
100000,22510,40022,11784,6776,5671
110000,25007,45400,11944,7416,6165
120000,27632,50335,12436,7955,6693
130000,29753,54366,12364,8652,7210
140000,32542,59881,13169,9549,7936
150000,34943,65408,13276,10120,8355
160000,37030,68063,13244,10805,8950
170000,40081,71776,14571,11577,9475
180000,42304,78053,13847,12091,9915
190000,44740,85754,15063,13045,10670
200000,46898,86825,14261,13443,11055
210000,49460,90008,14639,13996,11623
220000,52079,95403,14921,14889,12349
230000,54758,103000,15619,15615,12771
240000,57068,103607,15520,16289,13400
250000,59479,111359,16075,17182,13985
260000,62236,114557,17024,17694,14640
270000,64464,119430,16741,18248,15029
280000,67207,122234,16628,19002,15619
290000,69786,128774,17244,19602,16197
300000,72398,134990,17413,20302,16506
310000,74775,138194,18279,21143,17635
320000,77769,143924,19001,21823,18126
330000,79464,147903,18298,22449,18785
340000,82129,153504,18781,23256,18894
350000,85561,159889,19425,23736,19677
360000,87561,166166,18838,24632,20166
370000,90772,170567,20396,25285,20684
380000,92246,175347,19560,25804,21171
390000,94423,178503,20656,26669,21800
400000,97500,182277,20740,27585,22175
410000,99926,188095,20572,27961,23252
420000,103370,191877,20368,28724,23589
430000,105541,197121,21420,29679,23810
440000,108560,200551,21354,30135,24688
450000,111309,210834,21650,30827,25099
460000,114347,215009,22480,31853,26054
470000,116043,216733,22137,32074,26199
480000,118688,220604,22073,32866,26822
490000,122169,230473,23817,34130,27849
500000,123707,232358,22988,34173,28234
510000,125835,245162,23270,34678,28446
520000,128793,241998,23481,35790,28892
530000,131841,247259,24001,36562,29678
540000,133884,255238,23982,37259,30372
550000,137777,262568,24634,38147,31140
560000,140359,261723,24909,38658,31689
570000,142289,262631,25229,39350,31911
580000,145158,272187,24970,40039,32711
590000,147371,283391,25731,40712,33220
600000,150499,282453,25743,41291,33856
610000,152738,294546,25892,42114,34309
620000,156466,299350,27037,43446,35612
630000,157652,304855,26407,43328,35371
640000,159736,305929,27679,44043,35925
650000,162413,323599,27226,45138,36589
660000,165172,314051,28202,46440,37721
670000,168351,318029,27560,46540,38272
680000,170158,324008,27913,47114,38768
690000,173112,329826,27988,48303,39300
700000,176167,336432,28995,48863,39947
710000,178989,333982,28077,49214,40307
720000,181607,341921,29020,50129,41106
730000,184165,359005,28609,50746,41118
740000,186291,351047,28624,51270,41850
750000,189271,359430,29534,52676,42474
760000,192034,364229,30205,53557,43442
770000,195273,362428,30091,53561,43551
780000,196027,380402,32394,54412,44195
790000,199540,367153,30183,54728,44570
800000,202101,393761,31643,56917,45781
810000,205696,392217,31541,56480,45705
820000,207517,399384,31009,56828,46966
830000,210112,403346,32888,58666,47075
840000,213188,411299,31653,58352,47829
850000,216264,408110,32112,59453,48422
860000,219471,421572,31821,60124,49301
870000,221935,424043,32721,61084,49274
880000,225137,435856,32680,60878,50194
890000,227142,435402,32810,62813,50463
900000,231286,439627,33089,63158,51617
910000,234934,450329,34569,63178,51828
920000,235704,445039,33403,63951,52368
930000,238221,463123,33796,64698,53678
940000,240515,469643,33775,65663,53603
950000,245311,471596,34185,66682,54172
960000,247200,461178,34486,67674,54597
970000,249279,490918,34899,67798,54713
980000,251169,474838,35007,70426,56290
990000,255144,497141,35227,69626,56467
1000000,256191,509521,35539,70598,57673
