Length,Radix Sort,QR Sort
10000,1351,20298
20000,2072,20589
30000,3009,21649
40000,4132,22446
50000,5144,24344
60000,6196,25904
70000,7166,26705
80000,8345,27497
90000,9664,29315
100000,10488,26293
110000,11555,32517
120000,13318,33940
130000,14909,37883
140000,15456,34655
150000,15803,32263
160000,16806,32731
170000,18875,36810
180000,19709,41291
190000,20302,36272
200000,21508,36089
210000,22384,39093
220000,23605,38419
230000,24535,39315
240000,25648,38654
250000,27023,39400
260000,28115,39669
270000,28575,41178
280000,29810,40448
290000,30724,42552
300000,32022,39973
310000,34013,44265
320000,35564,43449
330000,35230,44936
340000,37228,46307
350000,38521,46279
360000,39506,48488
370000,39957,45664
380000,40790,48411
390000,42130,49887
400000,42955,47267
410000,44545,49457
420000,45357,51049
430000,46887,51593
440000,51578,60984
450000,53605,57667
460000,52179,56015
470000,52715,67019
480000,53659,57253
490000,54156,61077
500000,53584,54135
510000,56138,59096
520000,57368,58573
530000,58119,59318
540000,59645,60226
550000,60782,59158
560000,62698,60669
570000,64398,65212
580000,66137,64517
590000,69546,70136
600000,66987,61264
610000,79096,67389
620000,71197,72756
630000,72053,69203
640000,76688,74154
650000,75609,67400
660000,79340,81450
670000,81940,73155
680000,77596,68859
690000,76896,71986
700000,78180,67794
710000,80097,72014
720000,82023,70116
730000,84168,74053
740000,85768,77368
750000,81179,70709
760000,86975,73049
770000,85820,76491
780000,88289,77864
790000,93727,79371
800000,90258,75132
810000,94164,79857
820000,93936,81355
830000,94569,84626
840000,96124,78434
850000,99027,81887
860000,111200,89899
870000,99368,86247
880000,106096,84194
890000,106220,86301
900000,111413,87240
910000,107699,93351
920000,111157,87705
930000,122093,112656
940000,114358,103884
950000,116500,90995
960000,113301,90513
970000,120009,98709
980000,114905,93392
990000,119652,100059
1000000,112371,80412
