Length,Merge Sort,Quicksort,Counting Sort,Radix Sort,QR Sort
10000,1983,3326,95766,686,621
20000,4109,6984,95513,1381,1218
30000,6470,11738,96913,2100,1789
40000,8538,14863,95916,2733,2357
50000,10770,19058,95784,3353,2887
60000,13173,23541,97259,4066,3466
70000,15578,26685,96854,4774,4035
80000,17857,32088,98203,5530,4628
90000,20277,36578,100258,6263,5269
100000,22491,39144,98737,6738,5686
110000,25289,46401,99481,7451,6397
120000,27641,49672,102996,8303,6901
130000,30045,54368,101521,8788,7434
140000,32639,57708,102228,9483,8075
150000,35005,64003,103674,10309,8608
160000,37081,69504,104659,11116,9113
170000,39641,74013,105325,11693,9778
180000,42090,79339,107707,12457,10308
190000,44555,81339,107016,13141,10976
200000,47521,86819,108907,13980,11556
210000,49568,90062,110117,14330,11919
220000,53401,99323,121497,15831,12820
230000,58027,106705,122140,17087,13645
240000,59520,109625,121943,17475,14197
250000,61432,116262,120585,17661,14728
260000,64439,118977,124403,19076,15190
270000,64587,122810,117987,18987,15796
280000,67594,126731,119555,19713,15922
290000,69606,136991,121812,20674,16982
300000,75582,138455,124556,21779,17525
310000,74435,139577,121866,21850,17877
320000,76757,146748,122654,22688,18231
330000,79307,151407,125986,23454,18859
340000,82996,157051,125885,24279,19713
350000,85200,157988,127821,24488,20005
360000,87351,167533,126088,25493,20689
370000,89496,174265,128281,26092,21132
380000,92567,178265,129151,27076,21892
390000,94350,181891,130140,27665,22320
400000,97300,185564,133293,28682,23104
410000,99638,189356,131773,28904,23471
420000,102732,199527,134229,29876,24221
430000,104877,205799,133919,30575,24737
440000,107616,210250,135805,31268,25257
450000,111344,213320,136269,31892,25783
460000,113588,212752,137105,32720,26540
470000,115529,218076,138337,33374,26900
480000,118751,227299,139689,34241,27632
490000,121171,230521,141327,34852,28076
500000,123137,238189,141190,35697,28770
510000,125496,245941,143294,36160,29392
520000,127931,251962,144440,36855,30052
530000,130073,256817,144944,37557,30425
540000,133056,261269,147082,38438,31057
550000,136394,268249,147658,39160,31699
560000,144003,269204,148040,39806,32264
570000,141983,270629,150347,40725,32812
580000,143999,275810,149586,41273,33512
590000,146356,283673,152002,42278,33935
600000,149189,294098,151741,42623,34730
610000,152271,290718,152849,43148,35266
620000,156498,306774,155143,44376,35911
630000,156501,298343,154688,44609,36292
640000,159602,302080,157071,46248,37081
650000,161105,312622,156808,46335,37609
660000,164947,316521,157263,46910,38275
670000,166850,318176,157218,47494,38708
680000,169338,334276,158911,48342,39329
690000,173228,332693,159360,48915,39962
700000,175745,330210,162306,49912,40682
710000,182691,346728,165422,53449,41939
720000,181334,345880,164611,51477,41777
730000,184494,352995,164683,52138,42122
740000,187558,347317,164556,53028,42439
750000,188997,358388,163829,54117,43523
760000,191975,372543,167291,54604,43861
770000,194165,365269,167861,55542,44609
780000,196412,375708,166517,55967,45345
790000,199857,376838,166490,56667,45843
800000,202705,391033,168375,57457,46159
810000,205355,398974,170594,58908,47167
820000,207252,407975,172188,59329,47951
830000,211489,416371,171180,59247,47617
840000,213938,407166,172715,60512,48576
850000,216815,413916,171693,60979,49092
860000,219211,411016,175282,62130,49854
870000,221983,416040,175177,62346,50694
880000,224762,427878,177144,63712,51289
890000,227121,430914,178229,64265,51615
900000,230537,444263,178808,65170,52330
910000,232235,441649,179066,66751,53598
920000,235314,453669,180505,66529,53350
930000,237899,464609,179499,67530,53881
940000,240520,461957,183191,68127,54585
950000,244265,462175,182714,68726,54934
960000,246441,456730,181492,71113,55874
970000,248444,477255,184542,69994,56188
980000,251219,479252,184859,71272,57158
990000,254676,486580,189494,72309,57356
1000000,256199,500997,184676,72491,58087
