Length,Radix Sort,QR Sort
10000,162,175
20000,373,302
30000,511,414
40000,696,530
50000,870,598
60000,1117,761
70000,1565,979
80000,2167,1164
90000,1853,1267
100000,2134,1263
110000,1886,1484
120000,1842,1559
130000,2028,1745
140000,2200,1838
150000,2766,1898
160000,2554,2174
170000,2760,2393
180000,2979,2399
190000,3681,6317
200000,2928,2401
210000,5067,5287
220000,4548,3079
230000,3748,3410
240000,4450,4475
250000,3976,3287
260000,4356,3681
270000,4648,3959
280000,4867,4026
290000,5150,4629
300000,5974,4172
310000,6698,5002
320000,6163,5264
330000,6290,5152
340000,8620,5578
350000,7297,5668
360000,11012,6126
370000,7175,5820
380000,7098,6157
390000,7600,6370
400000,7164,7010
410000,8031,6811
420000,8268,7411
430000,8718,7164
440000,8508,7298
450000,8410,6983
460000,8637,8298
470000,10228,8087
480000,9431,8007
490000,10227,9043
500000,11905,7989
510000,9712,8483
520000,10003,8780
530000,10164,11857
540000,12677,9792
550000,11608,10796
560000,11778,9611
570000,11682,10810
580000,12593,10811
590000,11627,9601
600000,12134,9148
610000,12475,10714
620000,14516,10953
630000,13054,11532
640000,14874,13866
650000,13218,13126
660000,15756,13288
670000,14063,12438
680000,16073,12888
690000,15418,13185
700000,16280,13961
710000,15898,13920
720000,15819,15762
730000,18616,16557
740000,17804,15623
750000,17486,13899
760000,17600,16321
770000,18726,14986
780000,16502,13955
790000,18085,17135
800000,17861,13667
810000,16820,16270
820000,16993,15353
830000,18294,16528
840000,20488,16298
850000,18173,15977
860000,19774,18035
870000,19099,17615
880000,19686,16819
890000,19492,17970
900000,19890,16622
910000,24737,22221
920000,21773,19137
930000,19233,17527
940000,20010,17908
950000,21018,19497
960000,22304,18065
970000,20662,18072
980000,23147,19441
990000,20427,21145
1000000,24282,19280
