Length,Radix Sort,QR Sort
10000,136,60
20000,132,121
30000,189,184
40000,551,432
50000,321,313
60000,1436,1137
70000,440,437
80000,769,656
90000,578,585
100000,1224,806
110000,1191,1068
120000,791,772
130000,856,843
140000,987,913
150000,1007,981
160000,1155,1063
170000,1977,2673
180000,1223,1212
190000,1386,1481
200000,1527,1541
210000,1500,1557
220000,1639,1618
230000,1652,1613
240000,1732,1808
250000,2133,1901
260000,1883,1862
270000,2032,1984
280000,2020,2064
290000,2198,2236
300000,2304,2192
310000,2279,2344
320000,2504,2588
330000,2653,3142
340000,2494,4077
350000,3189,2971
360000,2729,2691
370000,2768,4625
380000,3405,2805
390000,3813,2887
400000,3114,2998
410000,3430,3142
420000,3185,3120
430000,3672,3322
440000,3605,3357
450000,5168,3507
460000,3757,4981
470000,4230,3871
480000,4080,4786
490000,3988,3889
500000,4066,5213
510000,4881,5111
520000,4906,5481
530000,4681,4094
540000,4964,5015
550000,6354,4427
560000,4528,4390
570000,4911,4554
580000,6909,4734
590000,4894,4755
600000,4956,4924
610000,5117,5017
620000,5586,7528
630000,5556,5563
640000,6089,6347
650000,6400,5594
660000,6986,6269
670000,6395,5912
680000,6346,5651
690000,5806,9634
700000,6060,7966
710000,8386,7358
720000,8027,9524
730000,6073,6054
740000,6313,6935
750000,7001,6418
760000,7390,6298
770000,6570,7332
780000,6790,9505
790000,7336,7910
800000,8121,7848
810000,10016,7384
820000,7209,11219
830000,7317,7716
840000,7337,9754
850000,8888,7988
860000,7727,8783
870000,7755,7765
880000,9720,7716
890000,7750,7689
900000,9317,9726
910000,7827,7886
920000,7959,8200
930000,9979,9443
940000,8633,10761
950000,9351,9507
960000,8509,8540
970000,9978,8719
980000,8650,10619
990000,10969,10948
1000000,10168,10203
