Length,Radix Sort,QR Sort
10000,99,74
20000,205,150
30000,334,242
40000,485,316
50000,556,378
60000,850,471
70000,769,545
80000,936,626
90000,1001,719
100000,2764,1095
110000,1280,872
120000,1629,1148
130000,1542,1038
140000,1782,1261
150000,3070,1348
160000,2045,1329
170000,2105,1479
180000,2191,1566
190000,2720,1846
200000,2759,3062
210000,2705,2004
220000,5294,1976
230000,3381,2146
240000,3461,2276
250000,6325,2883
260000,3874,2929
270000,5789,2515
280000,3835,4098
290000,4721,3235
300000,5907,4515
310000,4734,3539
320000,4769,2906
330000,6156,3453
340000,5269,3739
350000,5626,3334
360000,5359,3298
370000,7109,4696
380000,6125,4865
390000,7185,4946
400000,7439,4477
410000,7300,4431
420000,8646,4881
430000,8174,5306
440000,7738,6047
450000,8329,4775
460000,8407,4992
470000,7548,4918
480000,8900,5513
490000,9696,4852
500000,10070,6685
510000,8500,4848
520000,9101,6331
530000,9758,6140
540000,9421,5566
550000,9289,6425
560000,10693,6513
570000,9881,5983
580000,10329,6516
590000,12001,6587
600000,11498,7024
610000,11804,6591
620000,12012,7800
630000,12439,7218
640000,11971,9194
650000,13817,8170
660000,16127,7800
670000,13153,7610
680000,13803,8857
690000,12576,8013
700000,12480,7705
710000,14835,8013
720000,14489,7392
730000,17157,8835
740000,15097,10299
750000,15869,8235
760000,18283,10527
770000,14475,10338
780000,15312,8981
790000,21007,10869
800000,17439,10272
810000,17616,9562
820000,16829,10855
830000,16352,12275
840000,18177,11271
850000,17813,11003
860000,18645,11300
870000,17944,10899
880000,17376,10984
890000,18395,10393
900000,22752,10977
910000,24142,11200
920000,18460,12432
930000,20086,12038
940000,18418,10703
950000,22363,11633
960000,19927,14051
970000,22792,13318
980000,19811,13746
990000,20490,12664
1000000,20939,12463
