Length,Radix Sort,QR Sort
10000,317,151
20000,240,179
30000,379,256
40000,521,345
50000,588,419
60000,759,512
70000,877,607
80000,1192,727
90000,1165,831
100000,1296,887
110000,1393,987
120000,1647,1254
130000,1725,1252
140000,1840,1319
150000,1959,1366
160000,3041,1527
170000,2190,1692
180000,2278,1694
190000,2987,1996
200000,3232,2346
210000,3188,2088
220000,3010,2168
230000,3109,2358
240000,4006,2348
250000,3570,2722
260000,3736,3506
270000,4231,2754
280000,4969,3057
290000,4443,3017
300000,4455,3368
310000,4396,3419
320000,7155,3270
330000,5096,3664
340000,5339,3743
350000,5215,5036
360000,5849,4214
370000,5464,3933
380000,5469,4102
390000,5721,4019
400000,6514,4242
410000,6125,4292
420000,6257,4382
430000,6764,4565
440000,7027,4510
450000,9393,4967
460000,7457,6570
470000,7414,5032
480000,9339,5282
490000,7541,5296
500000,8036,6099
510000,9218,5687
520000,9755,7114
530000,11309,6611
540000,9707,6975
550000,9804,6492
560000,11197,6860
570000,11609,7728
580000,11038,6946
590000,12718,7740
600000,11285,8018
610000,11502,7833
620000,12871,7266
630000,11951,8006
640000,16894,7485
650000,14989,8501
660000,12772,7582
670000,12407,8256
680000,12889,8386
690000,12543,8272
700000,13352,9280
710000,13916,9977
720000,14138,8831
730000,16515,9631
740000,13642,9343
750000,13979,9542
760000,13916,10398
770000,14504,10021
780000,14951,10047
790000,14366,10180
800000,17592,9639
810000,15000,10412
820000,14924,10619
830000,18046,10708
840000,18121,11023
850000,15797,11229
860000,16202,11734
870000,15210,10353
880000,16615,10373
890000,18574,12372
900000,16669,13934
910000,16789,11789
920000,16764,10956
930000,20587,13153
940000,22714,11702
950000,19860,14218
960000,25161,12099
970000,20162,15159
980000,19773,12626
990000,20211,13113
1000000,17091,15578
