Length,Radix Sort,QR Sort
10000,151,107
20000,331,215
30000,581,304
40000,509,395
50000,575,489
60000,740,587
70000,1128,1436
80000,1485,898
90000,2579,1084
100000,1989,1364
110000,1658,2108
120000,1553,1181
130000,1741,1355
140000,2145,1714
150000,2604,1969
160000,2469,2287
170000,2536,1865
180000,2725,1904
190000,2813,1981
200000,2949,2413
210000,3540,2581
220000,3730,2909
230000,3408,2770
240000,3498,2917
250000,3808,3137
260000,3917,2923
270000,4099,3506
280000,4402,3506
290000,4686,3608
300000,4545,3921
310000,4857,6092
320000,6830,4599
330000,5897,4219
340000,5626,5056
350000,5320,4282
360000,5802,6181
370000,6537,4505
380000,6192,4629
390000,6134,4326
400000,6538,4931
410000,6418,5058
420000,6912,6499
430000,6990,5200
440000,7119,5724
450000,7390,6834
460000,9857,7388
470000,8431,6082
480000,8510,6878
490000,9176,6809
500000,8911,7011
510000,9376,7217
520000,9298,6877
530000,9151,7068
540000,9841,7554
550000,10113,7570
560000,10306,7917
570000,10357,8813
580000,10285,7889
590000,10398,7850
600000,12031,8484
610000,13294,9524
620000,12337,9524
630000,12870,9403
640000,13261,9579
650000,13173,8760
660000,13566,10095
670000,12567,11345
680000,13500,9938
690000,12895,10725
700000,13126,10166
710000,13186,9735
720000,12837,10072
730000,14389,10166
740000,14937,10946
750000,16283,11985
760000,15559,12770
770000,16880,12867
780000,16956,12943
790000,17189,13317
800000,17678,11527
810000,16103,11764
820000,16225,12083
830000,16802,12940
840000,17908,11961
850000,16378,13338
860000,18235,13381
870000,18319,13486
880000,17484,14106
890000,18424,15023
900000,19907,13920
910000,18488,13708
920000,19400,14441
930000,18984,14770
940000,19231,14209
950000,19780,15023
960000,21764,16971
970000,23597,17180
980000,22172,15576
990000,20811,15704
1000000,19448,15618
