Length,Radix Sort,QR Sort
10000,104,63
20000,228,133
30000,327,198
40000,467,257
50000,645,354
60000,768,402
70000,1164,551
80000,1007,539
90000,2322,619
100000,1406,829
110000,866,792
120000,1091,863
130000,1036,976
140000,1153,1131
150000,1125,1161
160000,1788,2852
170000,1428,1288
180000,1595,1409
190000,1522,1515
200000,1736,2170
210000,1732,1660
220000,1744,1737
230000,1876,1813
240000,2120,1988
250000,2269,2089
260000,2221,2068
270000,2232,2459
280000,4189,4587
290000,2985,2494
300000,3210,2630
310000,2754,2589
320000,2875,3443
330000,3058,3304
340000,3383,3607
350000,3302,3358
360000,4364,3375
370000,4512,3692
380000,3402,3103
390000,5328,3633
400000,4574,3438
410000,4020,3767
420000,4724,3892
430000,5003,4161
440000,4214,3853
450000,4328,5889
460000,5559,4223
470000,6862,5139
480000,6049,4188
490000,5228,4269
500000,4985,4541
510000,4816,7109
520000,5503,5768
530000,6311,4506
540000,6370,6497
550000,5431,4956
560000,5498,5890
570000,5572,5237
580000,6089,7269
590000,6686,5656
600000,8144,6345
610000,6076,6272
620000,6314,6825
630000,6311,5743
640000,6892,6684
650000,6747,6099
660000,7715,5554
670000,6224,9358
680000,7462,9363
690000,7351,6932
700000,7871,7049
710000,10329,7346
720000,8630,7247
730000,8679,7229
740000,8472,11113
750000,8165,6883
760000,8187,8268
770000,9215,9608
780000,12485,8799
790000,10929,7792
800000,8947,8346
810000,9688,8698
820000,10688,9265
830000,9037,9156
840000,9320,9608
850000,12367,10636
860000,11700,9562
870000,10796,9290
880000,9791,11576
890000,9996,9878
900000,14841,10194
910000,9606,10777
920000,11482,10105
930000,9393,12135
940000,12014,10313
950000,10486,13763
960000,11929,10654
970000,9909,11057
980000,11135,11052
990000,12432,11020
1000000,10243,12222
