Length,Radix Sort,QR Sort
10000,413,533
20000,618,885
30000,911,1554
40000,2044,2259
50000,1577,2186
60000,1970,3028
70000,2362,3079
80000,3532,3832
90000,3031,5483
100000,4807,5652
110000,4894,6678
120000,5275,6716
130000,5888,6762
140000,5646,6621
150000,6708,7288
160000,5040,8956
170000,5655,7546
180000,6960,10835
190000,6177,10275
200000,6605,11941
210000,7063,10344
220000,11437,12340
230000,9953,12056
240000,11113,13273
250000,10610,13000
260000,9355,15335
270000,10265,15553
280000,12623,16651
290000,10622,18112
300000,10225,16428
310000,12660,18694
320000,14019,17569
330000,11583,17352
340000,13869,21064
350000,13500,21023
360000,13613,21333
370000,12776,20394
380000,13654,19436
390000,18243,20253
400000,16113,24247
410000,14563,21065
420000,18595,24701
430000,18613,28390
440000,19229,26392
450000,18590,25121
460000,20941,30756
470000,21045,28014
480000,26452,30330
490000,21258,29920
500000,19761,24948
510000,19065,26196
520000,21737,31392
530000,20075,29650
540000,22858,29236
550000,23099,29986
560000,20409,28363
570000,24449,35264
580000,25226,35826
590000,25749,35118
600000,25685,34065
610000,25043,32621
620000,25332,37656
630000,25129,37104
640000,29960,40761
650000,30503,37795
660000,27128,40485
670000,27858,36661
680000,27452,40731
690000,29078,39772
700000,31714,38160
710000,29827,45108
720000,35290,40999
730000,32146,39085
740000,31811,39323
750000,29489,43502
760000,35950,43095
770000,31138,45564
780000,30521,49271
790000,35595,45162
800000,34531,46709
810000,38457,44120
820000,36125,41492
830000,35948,44929
840000,37311,47272
850000,34951,50617
860000,37225,50625
870000,34050,54676
880000,35123,50187
890000,39708,57869
900000,40344,48976
910000,38031,53075
920000,41796,50981
930000,39013,51255
940000,40672,50618
950000,37279,54825
960000,39118,59548
970000,48377,58674
980000,38309,55452
990000,39457,62774
1000000,36570,59714
