Length,Radix Sort,QR Sort
10000,857,5292
20000,2139,6123
30000,2894,7168
40000,3497,8056
50000,6294,8963
60000,5836,10167
70000,6949,8950
80000,6646,11189
90000,7812,12687
100000,9286,10529
110000,10119,11983
120000,12498,14654
130000,11593,13007
140000,13671,13331
150000,13562,14602
160000,16193,15035
170000,16705,17174
180000,17950,19237
190000,18574,20396
200000,19421,18692
210000,19711,19093
220000,24828,19441
230000,23261,18090
240000,25606,21411
250000,24026,20767
260000,25980,20979
270000,35070,25015
280000,31476,28075
290000,32298,26253
300000,30330,24766
310000,35917,25004
320000,30762,32668
330000,31972,28705
340000,30546,28802
350000,29386,30792
360000,33429,32662
370000,30541,29395
380000,34432,32448
390000,32248,34265
400000,31798,31632
410000,32879,32073
420000,35556,32967
430000,37037,34574
440000,36860,36353
450000,40756,36053
460000,38932,41372
470000,38964,37349
480000,41194,36878
490000,43531,40333
500000,40999,39078
510000,50473,45938
520000,51184,44713
530000,51426,45363
540000,47388,44918
550000,50072,48232
560000,48096,49147
570000,51836,49771
580000,52766,48640
590000,55313,50618
600000,53412,49405
610000,54381,50317
620000,58251,51614
630000,59722,51136
640000,58545,50810
650000,63862,54916
660000,61789,52967
670000,67881,56402
680000,68095,60225
690000,68257,62030
700000,59735,57358
710000,63574,59726
720000,65026,64031
730000,89255,68774
740000,74700,62591
750000,76558,74346
760000,103538,68172
770000,74203,64646
780000,81866,69456
790000,79567,66205
800000,73004,70167
810000,81974,62998
820000,80460,72419
830000,84111,71978
840000,81176,70138
850000,77626,69712
860000,82260,72060
870000,89835,77164
880000,90660,72949
890000,89808,76171
900000,78641,73633
910000,89216,77904
920000,84639,72751
930000,88057,77967
940000,99816,76913
950000,93515,78385
960000,102487,76170
970000,100936,83492
980000,98360,82069
990000,84962,79722
1000000,97341,84259
