Length,Radix Sort,QR Sort
10000,140,107
20000,466,272
30000,1186,535
40000,557,454
50000,958,1072
60000,1343,863
70000,1624,1257
80000,1210,1228
90000,1256,896
100000,1267,1348
110000,2118,1167
120000,2927,2288
130000,2571,1612
140000,1900,1398
150000,2599,1995
160000,3200,1717
170000,3275,2009
180000,3455,2361
190000,3702,3193
200000,2772,2187
210000,3100,2539
220000,3056,2735
230000,3976,2826
240000,3726,4034
250000,7483,5249
260000,4536,2955
270000,4577,4130
280000,4486,3458
290000,4505,3306
300000,8268,3727
310000,5020,5846
320000,5275,4418
330000,7236,5291
340000,6093,4538
350000,4922,4650
360000,6262,4447
370000,6085,6101
380000,6309,6260
390000,6012,4339
400000,7330,5501
410000,9413,6178
420000,6353,5255
430000,7247,6781
440000,8418,6411
450000,8554,8213
460000,7786,7625
470000,6980,6862
480000,11601,8175
490000,10238,5825
500000,9957,7723
510000,8877,7241
520000,10929,10036
530000,12248,9036
540000,11848,9079
550000,11362,10326
560000,15765,8801
570000,11127,9335
580000,12902,12456
590000,9235,8932
600000,12196,12265
610000,12730,9003
620000,12579,11872
630000,11524,10694
640000,12744,9699
650000,11601,11154
660000,12115,11046
670000,13497,11553
680000,16180,11604
690000,13650,11782
700000,13764,12839
710000,14045,13404
720000,15233,11979
730000,13057,13890
740000,15002,11083
750000,16628,13329
760000,15949,10927
770000,19794,13081
780000,16754,11067
790000,19986,12965
800000,20564,15835
810000,18411,14296
820000,19699,15305
830000,17140,13593
840000,18710,14951
850000,18514,13572
860000,17550,13400
870000,19918,14598
880000,20203,14906
890000,19138,15598
900000,19275,18826
910000,23954,14506
920000,20156,15385
930000,22377,17984
940000,23186,16420
950000,20162,15537
960000,24867,15091
970000,22065,21363
980000,24764,14874
990000,20636,14726
1000000,22109,17852
