Length,Radix Sort,QR Sort
10000,1050,183055
20000,2297,181388
30000,4290,189376
40000,6554,183467
50000,5586,173054
60000,6119,194964
70000,7121,188591
80000,8831,199628
90000,9025,207824
100000,10920,207207
110000,15430,201953
120000,14904,199874
130000,16084,204925
140000,16150,208119
150000,16075,216138
160000,17820,212462
170000,20090,229562
180000,17851,222360
190000,21114,212571
200000,21352,213628
210000,25816,235828
220000,23145,225493
230000,29281,235023
240000,26369,235493
250000,29499,225821
260000,28340,238840
270000,31692,236385
280000,28194,223495
290000,30640,233531
300000,32622,235207
310000,33854,220139
320000,36239,259406
330000,40896,265975
340000,40031,259706
350000,42652,259214
360000,39107,251100
370000,46452,236925
380000,41686,259878
390000,46395,257767
400000,45728,231937
410000,45414,253525
420000,49086,272307
430000,50344,248362
440000,49094,252837
450000,51902,265226
460000,53308,264025
470000,59311,287109
480000,55658,262308
490000,60215,280937
500000,52251,241983
510000,56896,276594
520000,60388,262183
530000,63207,290554
540000,69306,282222
550000,59733,261803
560000,59890,299901
570000,68554,301490
580000,77336,305283
590000,80190,316029
600000,76851,319096
610000,78143,308641
620000,76232,329692
630000,89843,326987
640000,81945,286557
650000,91513,316656
660000,83110,337786
670000,91850,306760
680000,83852,349991
690000,85192,331397
700000,87063,304666
710000,83225,327710
720000,90851,321047
730000,95024,297117
740000,89461,338797
750000,88671,298589
760000,96561,328698
770000,99902,336645
780000,105344,359362
790000,110603,352794
800000,96124,318614
810000,94881,345315
820000,98864,309769
830000,112324,362986
840000,108702,374452
850000,108025,351908
860000,111993,357515
870000,110607,350413
880000,113826,352686
890000,114367,396035
900000,118453,385810
910000,128077,339384
920000,124277,394387
930000,124105,377609
940000,117342,369034
950000,110980,400775
960000,121476,384991
970000,134196,388764
980000,135405,399792
990000,121084,410409
1000000,114262,271549
