Length,Radix Sort,QR Sort
10000,322,468
20000,646,953
30000,938,1455
40000,1323,1857
50000,1643,2350
60000,2204,2982
70000,3273,4495
80000,2576,5852
90000,3220,5291
100000,3215,5948
110000,3816,6667
120000,5549,6780
130000,4778,8490
140000,5306,9669
150000,6163,9592
160000,5872,10279
170000,5833,8314
180000,6494,9344
190000,7958,12068
200000,8890,10006
210000,7312,13499
220000,8042,12732
230000,7793,11513
240000,7803,11491
250000,9288,15272
260000,10245,14576
270000,12349,17675
280000,9846,15760
290000,11316,18427
300000,13717,19445
310000,12072,16891
320000,11933,18060
330000,10932,18583
340000,13173,19247
350000,12234,21363
360000,12838,23609
370000,13955,18885
380000,14316,21583
390000,16376,20137
400000,14887,20503
410000,20709,24081
420000,16950,24595
430000,18227,26766
440000,18410,26445
450000,16378,26628
460000,21314,23047
470000,18012,22339
480000,21803,27994
490000,18275,29209
500000,23544,28043
510000,16363,28219
520000,19809,25449
530000,21312,31586
540000,21058,29363
550000,22654,31848
560000,24294,29488
570000,21381,33848
580000,23232,30316
590000,21530,37847
600000,22514,32336
610000,23077,31335
620000,25027,36969
630000,23705,33327
640000,28390,38560
650000,26829,34359
660000,22687,41327
670000,26627,41375
680000,25865,40968
690000,31346,51018
700000,28069,40735
710000,31310,43309
720000,31941,40630
730000,31019,39193
740000,24680,39389
750000,29694,39667
760000,33766,45407
770000,29962,49287
780000,31384,43955
790000,28605,47381
800000,25538,46755
810000,28574,45030
820000,34089,44447
830000,36556,48087
840000,28958,44939
850000,35036,49774
860000,31746,49685
870000,32441,50631
880000,39848,54191
890000,35000,50708
900000,34673,52900
910000,35319,52249
920000,37002,58256
930000,32131,47270
940000,32709,51393
950000,33468,55532
960000,35302,56723
970000,33927,56367
980000,34924,59020
990000,40416,54188
1000000,40227,56496
