Length,Radix Sort,QR Sort
10000,628,334
20000,209,152
30000,410,256
40000,1346,1174
50000,629,530
60000,953,594
70000,1112,909
80000,1245,720
90000,1384,1195
100000,2062,1107
110000,1643,1712
120000,1488,1098
130000,1593,1198
140000,1739,1235
150000,1917,1374
160000,3187,1761
170000,3056,3433
180000,2504,2547
190000,2729,1772
200000,3875,1972
210000,2843,1996
220000,2891,2275
230000,4253,2925
240000,4344,2553
250000,4084,2500
260000,3341,3016
270000,7189,2895
280000,4519,2907
290000,3828,3749
300000,4068,4206
310000,6550,4398
320000,8463,3940
330000,4870,3201
340000,7003,5464
350000,5331,3887
360000,6157,4104
370000,7488,3863
380000,8332,4106
390000,5316,4723
400000,7739,6481
410000,7451,5113
420000,6918,4123
430000,8168,6453
440000,9124,4380
450000,9411,6596
460000,10017,7188
470000,8819,5825
480000,10869,7207
490000,10022,6099
500000,7186,7777
510000,9133,6179
520000,8295,6719
530000,8617,7490
540000,12564,7621
550000,10329,8841
560000,12343,5535
570000,11654,8933
580000,10394,7101
590000,11748,8498
600000,10743,10177
610000,10827,9111
620000,11098,8588
630000,12222,7555
640000,19088,7937
650000,12551,8987
660000,11946,8985
670000,13069,9556
680000,13925,7117
690000,12795,10274
700000,17235,8885
710000,14541,9063
720000,12195,12084
730000,15298,8123
740000,15501,9508
750000,12577,9518
760000,12462,10314
770000,14640,9065
780000,15695,11135
790000,14952,9665
800000,21824,11484
810000,15376,11529
820000,17078,14984
830000,19458,11186
840000,18431,10482
850000,17051,11690
860000,17693,14168
870000,20286,12129
880000,20017,10827
890000,19410,13442
900000,17826,14795
910000,20696,12319
920000,20745,14652
930000,20159,13131
940000,21776,13299
950000,20056,13168
960000,28264,13650
970000,20600,12197
980000,19237,13949
990000,19419,13722
1000000,21367,13152
