Length,Radix Sort,QR Sort
10000,191,268
20000,479,720
30000,952,781
40000,773,643
50000,892,645
60000,1294,908
70000,3065,1253
80000,2379,1125
90000,2478,1358
100000,2206,1281
110000,1680,1763
120000,1942,1657
130000,1944,1798
140000,5486,2426
150000,2467,2809
160000,2626,2317
170000,3539,3330
180000,3811,3329
190000,4092,3487
200000,3900,3746
210000,4197,4024
220000,3502,4159
230000,4038,3403
240000,3805,5004
250000,7538,5321
260000,5019,4904
270000,6412,5566
280000,6736,5874
290000,6060,5266
300000,7544,5722
310000,7123,6270
320000,6367,5333
330000,7370,5541
340000,7437,6819
350000,8006,5832
360000,6767,5648
370000,7906,6956
380000,8084,6646
390000,9858,6494
400000,8544,5628
410000,10087,7465
420000,8163,6917
430000,8613,9729
440000,9697,7788
450000,8524,10245
460000,8769,10044
470000,11322,9291
480000,9641,9217
490000,10398,9312
500000,9974,8276
510000,10901,9807
520000,11979,9108
530000,12791,11851
540000,11726,9705
550000,12707,11151
560000,13586,10527
570000,12013,12013
580000,14999,13003
590000,14282,11476
600000,14592,12826
610000,14216,12240
620000,15439,14415
630000,15810,13511
640000,15020,13604
650000,15856,12238
660000,16519,16122
670000,14447,15828
680000,15339,15519
690000,15898,13989
700000,16784,14710
710000,15536,17864
720000,17528,14773
730000,18270,15521
740000,20704,17343
750000,19983,16792
760000,17829,15567
770000,17118,16034
780000,18251,16223
790000,18883,16286
800000,24058,15083
810000,21543,18039
820000,16620,15317
830000,18561,20866
840000,20447,19396
850000,20839,16097
860000,23545,19808
870000,21127,17738
880000,18682,18212
890000,21179,17316
900000,20231,16580
910000,20246,19250
920000,24866,18887
930000,20041,20707
940000,21359,19419
950000,23742,19569
960000,25101,21667
970000,26816,21415
980000,22655,21550
990000,20375,24043
1000000,25922,20185
