Length,Radix Sort,QR Sort
10000,712,547
20000,914,1097
30000,1202,1910
40000,1317,1981
50000,1628,2890
60000,2754,2857
70000,2968,4513
80000,2789,4267
90000,3407,4023
100000,4326,6446
110000,5134,6607
120000,4742,5418
130000,6813,8257
140000,5649,7151
150000,5135,7444
160000,6999,9488
170000,7180,8097
180000,9206,9359
190000,7741,10360
200000,9031,10659
210000,8173,13613
220000,9070,13351
230000,8672,14319
240000,9625,12122
250000,10333,13389
260000,8468,13755
270000,10019,13436
280000,12178,13885
290000,11639,14631
300000,11697,20245
310000,12570,19163
320000,14595,15773
330000,14638,18576
340000,12468,18067
350000,15175,21633
360000,13268,19645
370000,15549,18763
380000,17743,19358
390000,14998,25335
400000,17774,19536
410000,17864,20259
420000,17721,22923
430000,18791,25142
440000,22340,25236
450000,20341,28364
460000,21485,26031
470000,21385,27536
480000,20827,30359
490000,20947,26772
500000,22501,27314
510000,23129,29964
520000,20951,32500
530000,21795,35178
540000,22611,32902
550000,22901,31329
560000,25694,30370
570000,28155,31662
580000,25926,34779
590000,25805,38292
600000,25629,33696
610000,26405,37012
620000,26634,35680
630000,27804,34913
640000,28841,37539
650000,27016,39301
660000,29560,41230
670000,26775,36403
680000,30898,35809
690000,32398,40609
700000,30369,42642
710000,26945,46226
720000,31407,42460
730000,34429,43742
740000,30592,43446
750000,29718,41331
760000,32704,44010
770000,30736,47330
780000,34014,49148
790000,34704,48030
800000,34395,48838
810000,38780,46662
820000,35933,44461
830000,35443,51505
840000,36163,49713
850000,41516,52173
860000,38453,48458
870000,33401,58622
880000,38588,51027
890000,38656,46497
900000,40470,54534
910000,37816,53432
920000,42262,52486
930000,41871,53810
940000,37679,57351
950000,41692,54776
960000,40458,56355
970000,39844,51474
980000,42820,53514
990000,43500,59065
1000000,42976,54391
