Length,Radix Sort,QR Sort
10000,99,74
20000,327,237
30000,368,271
40000,429,337
50000,693,386
60000,1051,960
70000,882,639
80000,985,689
90000,1081,833
100000,1121,793
110000,1461,1150
120000,1614,1074
130000,2194,1498
140000,2515,1561
150000,2173,2091
160000,3477,1974
170000,2224,1477
180000,3039,1634
190000,2680,2016
200000,3628,3973
210000,3450,2156
220000,3165,3183
230000,4298,2317
240000,3822,3772
250000,4317,3741
260000,4294,3546
270000,5480,2810
280000,5846,2858
290000,5688,2745
300000,4378,2735
310000,4783,3004
320000,5175,3665
330000,6264,3106
340000,6481,3854
350000,6649,4024
360000,5607,5228
370000,6496,3615
380000,6180,4096
390000,6653,4501
400000,8557,3974
410000,7650,4311
420000,8592,5372
430000,9862,6884
440000,8147,5267
450000,8402,5015
460000,8709,4841
470000,9690,5702
480000,10146,5706
490000,8292,4824
500000,9988,5688
510000,10935,8482
520000,9751,5497
530000,10639,6846
540000,9274,5920
550000,12988,8051
560000,10119,5940
570000,12702,6086
580000,15261,6940
590000,11667,6363
600000,12785,5987
610000,15353,6708
620000,13318,6800
630000,12471,8312
640000,13573,8772
650000,12698,8520
660000,13833,8674
670000,11418,8246
680000,12237,8341
690000,13732,8499
700000,11875,6769
710000,13513,8354
720000,13378,9136
730000,14484,8230
740000,14065,7269
750000,15037,8495
760000,15323,9150
770000,16166,7914
780000,16818,9124
790000,18950,9477
800000,16264,9931
810000,16840,9456
820000,17249,10049
830000,19250,10859
840000,21957,11014
850000,18820,10214
860000,19559,10338
870000,17427,9473
880000,18757,9810
890000,21295,10575
900000,18820,10800
910000,24762,11372
920000,18917,10367
930000,22660,11978
940000,22163,11394
950000,23029,10406
960000,25042,11128
970000,21730,12358
980000,22790,12725
990000,24643,12849
1000000,25679,12385
