Length,Radix Sort,QR Sort
10000,1115,16512
20000,1777,18336
30000,3112,22450
40000,3644,19216
50000,5634,20328
60000,5823,22145
70000,6823,25449
80000,8858,26483
90000,9241,22531
100000,10488,22826
110000,10808,29989
120000,12100,24566
130000,13133,33624
140000,14682,30728
150000,15437,33953
160000,16216,27648
170000,17765,37467
180000,18636,32937
190000,22409,35811
200000,19052,35290
210000,23118,42413
220000,25138,33083
230000,26107,36304
240000,27501,40966
250000,27645,39843
260000,28220,40515
270000,30461,52875
280000,30747,40297
290000,35962,54206
300000,30688,40840
310000,33515,54566
320000,36623,49292
330000,38696,55223
340000,37824,42459
350000,38387,46067
360000,37582,57521
370000,42014,49425
380000,40049,57536
390000,42766,60373
400000,46773,51035
410000,47529,64596
420000,48048,54234
430000,47573,58765
440000,50399,57092
450000,49542,50753
460000,49767,51511
470000,51715,60625
480000,54109,50278
490000,58760,61418
500000,55290,51455
510000,58312,59080
520000,58130,58912
530000,62361,65215
540000,55571,62390
550000,64149,59446
560000,63511,64383
570000,68785,75866
580000,72044,62635
590000,68617,74565
600000,64061,66924
610000,72530,63696
620000,78870,72333
630000,78244,71056
640000,78176,67931
650000,79844,66929
660000,78009,76863
670000,79143,64173
680000,87103,77340
690000,88528,82135
700000,85093,76450
710000,85623,87632
720000,90703,83656
730000,89826,75306
740000,95930,77231
750000,87270,77972
760000,91660,83810
770000,102060,97290
780000,102043,89117
790000,105273,82736
800000,98079,84889
810000,102283,86475
820000,108812,94462
830000,104300,92471
840000,113431,91426
850000,118241,89227
860000,119711,91268
870000,115296,96189
880000,117309,95482
890000,123606,100216
900000,113616,82713
910000,126041,100875
920000,118862,92069
930000,119890,98801
940000,138053,100746
950000,123138,93693
960000,131008,101040
970000,124330,100102
980000,123952,102011
990000,132421,97269
1000000,116480,83276
