Length,Radix Sort,QR Sort
10000,1133,55599
20000,2758,65470
30000,5034,71129
40000,5287,62392
50000,5756,65390
60000,6423,60085
70000,10021,67160
80000,7069,69250
90000,9708,71529
100000,9083,69785
110000,12463,74556
120000,14272,68541
130000,15061,73483
140000,16099,75593
150000,16291,78959
160000,15982,81775
170000,19161,85247
180000,19490,99918
190000,20184,91253
200000,24990,88855
210000,22594,93328
220000,22264,92480
230000,25863,92056
240000,29240,99092
250000,24695,97578
260000,29430,92865
270000,33118,100058
280000,29864,102153
290000,32692,100065
300000,33964,104883
310000,30743,98545
320000,33105,104228
330000,35827,118596
340000,38774,109884
350000,35562,110258
360000,41429,116017
370000,43057,112388
380000,40643,114460
390000,45810,120856
400000,42656,120544
410000,52499,147234
420000,50507,137778
430000,49459,129376
440000,55978,117169
450000,48157,129875
460000,51698,133415
470000,56557,118127
480000,54166,142047
490000,58995,143098
500000,52662,136933
510000,63509,135749
520000,60295,118630
530000,58704,128473
540000,63516,136326
550000,61689,156634
560000,66569,156548
570000,76554,158583
580000,67950,148488
590000,67682,152972
600000,72360,155277
610000,79055,167990
620000,72989,154742
630000,74418,141081
640000,82932,171411
650000,78782,150289
660000,81798,173522
670000,83854,180030
680000,81288,176797
690000,85129,184123
700000,93337,175531
710000,91422,173272
720000,88522,175371
730000,94518,179098
740000,89552,196640
750000,89671,191055
760000,90997,188425
770000,97625,184730
780000,97396,189048
790000,102994,180732
800000,97044,194249
810000,103752,194887
820000,96534,180602
830000,97368,189572
840000,104936,192397
850000,99922,202252
860000,114106,223344
870000,114734,204012
880000,107547,202868
890000,121606,212834
900000,102920,200014
910000,109862,199712
920000,120398,213718
930000,126036,212048
940000,115240,202174
950000,129688,217071
960000,127245,225197
970000,120435,229679
980000,130115,218128
990000,131364,214186
1000000,115926,226152
