Length,Radix Sort,QR Sort
10000,108,80
20000,207,168
30000,418,330
40000,470,339
50000,521,489
60000,701,529
70000,1726,828
80000,1404,854
90000,1523,922
100000,1327,954
110000,1250,923
120000,1374,1144
130000,1490,1170
140000,1679,1382
150000,1853,1860
160000,3887,1776
170000,2034,1559
180000,2460,1933
190000,3120,1811
200000,2790,2502
210000,2644,2063
220000,3329,2054
230000,3131,2653
240000,3299,2666
250000,3657,2434
260000,4559,4535
270000,3372,2505
280000,5010,3450
290000,4986,3189
300000,3796,4446
310000,4675,2958
320000,6905,3322
330000,5034,3114
340000,5919,3468
350000,5290,3828
360000,6458,4260
370000,5559,5160
380000,6126,4525
390000,6586,4681
400000,7072,4247
410000,6803,4793
420000,6276,4983
430000,7449,4286
440000,7782,5718
450000,6904,5208
460000,6302,6630
470000,7335,5071
480000,9501,6963
490000,8248,7003
500000,8980,6724
510000,11348,5007
520000,10401,6462
530000,10358,7372
540000,9531,5787
550000,11385,6983
560000,11590,6455
570000,10938,6422
580000,9410,7223
590000,12670,7475
600000,11679,10103
610000,10715,8096
620000,13085,6404
630000,11064,7805
640000,16465,7713
650000,13292,9489
660000,13650,8706
670000,14189,7306
680000,11490,8898
690000,13419,9247
700000,13042,8346
710000,13144,9649
720000,13234,10133
730000,13163,10096
740000,13543,10051
750000,15586,11410
760000,17174,9051
770000,15273,11613
780000,14385,9502
790000,14727,9903
800000,19034,8552
810000,21002,9356
820000,15945,8743
830000,17404,10900
840000,16259,11971
850000,18555,10712
860000,15244,13535
870000,21040,11341
880000,18578,12026
890000,16504,12802
900000,20683,11819
910000,16398,12584
920000,18514,12432
930000,20456,11798
940000,19981,12594
950000,22098,10446
960000,22721,13784
970000,21335,14846
980000,19088,12561
990000,22130,12951
1000000,22051,12135
